setting,shape,seed,method,half,cells,lo_ratio,cov,seconds
n23,normal,290036,Oracle04,2.7117942572195024,24,0.88580767099117,0.993307988500504,
n23,normal,290036,Plug,2.6515169917555,24,0.88580767099117,0.9919868919035696,
n23,normal,290036,Dlow,2.7342511857759746,24,0.88580767099117,0.993747767150494,
n23,normal,290036,S,2.7397142305548936,24,0.88580767099117,0.9938507375035036,
n23,normal,290038,CP_PAC,2.71826895979224,23,0.8014390101620877,0.9934375530760464,
n23,normal,290038,Oracle,2.500390790151931,23,0.8014390101620877,0.987594362432533,
n23,normal,290038,Oracle04,2.5312394109525536,23,0.8014390101620877,0.9886339761058104,
n23,normal,290038,Plug,2.4949827998809573,23,0.8014390101620877,0.9874036764152888,
n23,normal,290038,Dlow,2.5748928604745025,23,0.8014390101620877,0.9899728858634348,
n23,normal,290038,S,2.580037506683625,23,0.8014390101620877,0.9901210415069356,
n23,normal,290042,CP_PAC,2.301290487963142,15,0.8356941885045635,0.9786247829443516,
n23,normal,290042,Oracle,2.0245526086831966,15,0.8356941885045635,0.9570866752514398,
n23,normal,290042,Oracle04,2.0526321769684834,15,0.8356941885045635,0.9598917355937422,
n23,normal,290042,Plug,1.9998145739656257,15,0.8356941885045635,0.9544797097289496,
n23,normal,290042,Dlow,2.107627751675275,15,0.8356941885045635,0.9649367988536268,
n23,normal,290042,S,2.111838800332616,15,0.8356941885045635,0.96529972194131,
n23,normal,290041,CP_PAC,2.44785862981091,22,0.6689749309564222,0.9856291971051214,
n23,normal,290041,Oracle,2.196548138952534,22,0.6689749309564222,0.9719472664508452,
n23,normal,290041,Oracle04,2.225507534473018,22,0.6689749309564222,0.9739528141046744,
n23,normal,290041,Plug,2.239585038580044,22,0.6689749309564222,0.9748821250888302,
n23,normal,290041,Dlow,2.3144453621646264,22,0.6689749309564222,0.9793566949471312,
n23,normal,290041,S,2.319069633232933,22,0.6689749309564222,0.9796087390082028,
n23,normal,290040,CP_PAC,2.532985036506122,25,0.654903709512063,0.9886904219366176,
n23,normal,290040,Oracle,2.293932676030357,25,0.654903709512063,0.9782056338524674,
n23,normal,290040,Oracle04,2.3234620116695366,25,0.654903709512063,0.979845653862068,
n23,normal,290040,Plug,2.336896634463578,25,0.654903709512063,0.9805554406069206,
n23,normal,290040,Dlow,2.408173819886505,25,0.654903709512063,0.983967454314182,
n23,normal,290040,S,2.412985360787319,25,0.654903709512063,0.9841775449365592,
n23,normal,290043,CP_PAC,2.257744276056836,16,0.7869970809661194,0.9760383928770696,
n23,normal,290043,Oracle,1.9721810405265836,16,0.7869970809661194,0.951411056778814,
n23,normal,290043,Oracle04,2.000026556418421,16,0.7869970809661194,0.9545026036408844,
n23,normal,290043,Plug,1.9697132986468568,16,0.7869970809661194,0.951128762011443,
n23,normal,290043,Dlow,2.073268287103552,16,0.7869970809661194,0.96185268166278,
n23,normal,290043,S,2.077410685413584,16,0.7869970809661194,0.9622363291854066,
n23,normal,290045,CP_PAC,2.0102797492604405,10,0.935561970293154,0.9555984110476514,
n23,normal,290045,Oracle,1.659457676497382,10,0.935561970293154,0.9029763976445464,
n23,normal,290045,Oracle04,1.6863256869573842,10,0.935561970293154,0.9082669138909822,
n23,normal,290045,Plug,1.5548940069661124,10,0.935561970293154,0.8800286850716676,
n23,normal,290045,Dlow,1.717353340041953,10,0.935561970293154,0.914085368430284,
n23,normal,290045,S,1.7207846188676448,10,0.935561970293154,0.9147100854848936,
n23,normal,290048,CP_PAC,2.206197010646015,13,0.9243148507146068,0.9726297914975032,
n23,normal,290048,Oracle,1.9093094140107183,13,0.9243148507146068,0.9437778113943498,
n23,normal,290048,Oracle04,1.9368988286031523,13,0.9243148507146068,0.947242288315464,
n23,normal,290048,Plug,1.829842936172342,13,0.9243148507146068,0.932726571634538,
n23,normal,290048,Dlow,1.965910293112972,13,0.9243148507146068,0.9506910261338442,
n23,normal,290048,S,1.9698381897226485,13,0.9243148507146068,0.9511430817996556,
n23,normal,290049,CP_PAC,2.268339855199995,18,0.6903820194901443,0.9766914994765016,
n23,normal,290049,Oracle,1.984995357257469,18,0.6903820194901443,0.9528550119572808,
n23,normal,290049,Oracle04,2.0128964918472936,18,0.6903820194901443,0.9558744802780196,
n23,normal,290049,Plug,2.026999191764232,18,0.6903820194901443,0.9573375046677476,
n23,normal,290049,Dlow,2.1139959843822056,18,0.6903820194901443,0.9654843897043356,
n23,normal,290049,S,2.1182197567939047,18,0.6903820194901443,0.9658435392691398,
n23,normal,290050,CP_PAC,2.4723909446156824,16,0.9580004806054656,0.9865787344363705,
n23,normal,290050,Oracle,2.22478909284103,16,0.9580004806054656,0.9739046000441932,
n23,normal,290050,Oracle04,2.25390853419708,16,0.9580004806054656,0.9757980773133548,
n23,normal,290050,Plug,2.149981104540968,16,0.9580004806054656,0.9684432905550776,
n23,normal,290050,Dlow,2.266284569632244,16,0.9580004806054656,0.976566034440576,
n23,normal,290050,S,2.270812615244908,16,0.9580004806054656,0.9768416760553424,
n23,normal,290047,CP_PAC,2.5999291468440675,23,0.7276925285956818,0.990675698982788,
n23,normal,290047,Oracle,2.369278276661803,23,0.7276925285956818,0.9821771620902358,
n23,normal,290047,Oracle04,2.399270672890233,23,0.7276925285956818,0.9835722336719795,
n23,normal,290047,Plug,2.386886465781867,23,0.7276925285956818,0.983008262208772,
n23,normal,290047,Dlow,2.464018107360571,23,0.7276925285956818,0.9862610829537192,
n23,normal,290047,S,2.4689412253705783,23,0.7276925285956818,0.9864486525880224,
n23,normal,290046,CP_PAC,2.5650937465235235,25,0.6735587577131202,0.9896852067903404,
n23,normal,290046,Oracle,2.330111972743217,25,0.6735587577131202,0.9801997662018708,
n23,normal,290046,Oracle04,2.35985703899313,25,0.6735587577131202,0.981718021128576,
n23,normal,290046,Plug,2.367055385693741,25,0.6735587577131202,0.9820697506827348,
n23,normal,290046,Dlow,2.4382194863154525,25,0.6735587577131202,0.9852401908214354,
n23,normal,290046,S,2.4430910585776746,25,0.6735587577131202,0.9854379374346304,
n23,normal,290044,CP_PAC,2.6089975903899654,27,0.6518828217976972,0.9909192118218028,
n23,normal,290044,Oracle,2.379434756158469,27,0.6518828217976972,0.9826607878099454,
n23,normal,290044,Oracle04,2.4094925607142117,27,0.6518828217976972,0.9840252782594516,
n23,normal,290044,Plug,2.420626037633643,27,0.6518828217976972,0.984506192847994,
n23,normal,290044,Dlow,2.4888544032301554,27,0.6518828217976972,0.9871844563524595,
n23,normal,290044,S,2.4938271442584075,27,0.6518828217976972,0.9873625930231308,
n23,normal,290057,CP_PAC,2.2267049156306653,14,0.891113394813012,0.9740329983059072,
n23,normal,290057,Oracle,1.9344262020113072,14,0.891113394813012,0.9469392525238636,
n23,normal,290057,Oracle04,1.962114325273292,14,0.891113394813012,0.950250824502466,
n23,normal,290057,Plug,1.876810462398864,14,0.891113394813012,0.9394559239950802,
n23,normal,290057,Dlow,2.0024260834003584,14,0.891113394813012,0.9547610744807832,
n23,normal,290057,S,2.0064269387047284,14,0.891113394813012,0.9551892834337276,
n23,normal,290056,CP_PAC,2.283980158822655,15,0.8523633977999344,0.9776273029577331,
n23,normal,290056,Oracle,2.0038156597853978,15,0.8523633977999344,0.954910189283504,
n23,normal,290056,Oracle04,2.031800289881991,15,0.8523633977999344,0.9578261221476564,
n23,normal,290056,Plug,1.9697321157759515,15,0.8523633977999344,0.9511309197753406,
n23,normal,290056,Dlow,2.082455975747029,15,0.8523633977999344,0.962699159883876,
n23,normal,290056,S,2.0866167310956287,15,0.8523633977999344,0.9630772063321092,
n23,normal,290051,CP_PAC,2.466066025999077,22,0.6944287413306462,0.9863393849107962,
n23,normal,290051,Oracle,2.21750234150215,22,0.6944287413306462,0.9734112167749924,
n23,normal,290051,Oracle04,2.2465796032522176,22,0.6944287413306462,0.9753330930814448,
n23,normal,290051,Plug,2.2507064382080304,22,0.6944287413306462,0.9755958632709754,
n23,normal,290051,Dlow,2.328115776551051,22,0.6944287413306462,0.9800940432082136,
n23,normal,290051,S,2.332767361161847,22,0.6944287413306462,0.9803396414177789,
n23,normal,290053,CP_PAC,2.599385025071469,23,0.7369665046438995,0.9906609042192288,
n23,normal,290053,Oracle,2.368669176263747,23,0.7369665046438995,0.9821477862207462,
n23,normal,290053,Oracle04,2.398657717008545,23,0.7369665046438995,0.9835447116335914,
n23,normal,290053,Plug,2.383208959536029,23,0.7369665046438995,0.9828375506836508,
n23,normal,290053,Dlow,2.4614820276520057,23,0.7369665046438995,0.9861635670184672,
