shape,seed,method,centre,half,cert_tol,cov
gamma2_skew,42027,LDC_cert_pk,0.0,2.1193964951848163,,0.9594805574281551
gamma2_skew,42028,CP_PAC,0.0,2.6163498714624804,0.003,0.9775835089365562
gamma2_skew,42028,FH_PAC,0.2139936393327166,2.454235610176099,0.003,0.9789411846610224
gamma2_skew,42028,FH_normal,0.2139936393327166,2.0841144341101425,0.003,0.9672034399191228
gamma2_skew,42028,HetLDC,0.0,2.4000133627378446,0.003,0.9709504079582304
gamma2_skew,42028,HetLDC_cert,0.0,2.407213402826057,0.003,0.9711989098670198
gamma2_skew,42028,LDC_PAC,0.0,2.478065926346716,0.003,0.9735372706666392
gamma2_skew,42028,LDC_cert_pk,0.0,2.415268128036139,,0.971474477369133
gamma2_skew,42029,CP_PAC,0.0,1.9731588015556376,0.001,0.951889500038272
gamma2_skew,42029,FH_PAC,-0.1345388475368948,1.4826793228027848,0.001,0.9013311273427488
gamma2_skew,42029,FH_normal,-0.1345388475368948,1.1527657799021316,0.001,0.8433292188648525
gamma2_skew,42029,HetLDC,0.0,1.6396072982908558,0.001,0.929173046225206
gamma2_skew,42029,HetLDC_cert,0.0,1.6412469055891463,0.001,0.9293062802342476
gamma2_skew,42029,LDC_PAC,0.0,1.7146370061125344,0.001,0.9350326393981152
gamma2_skew,42029,LDC_cert_pk,0.0,1.6468863062073742,,0.9297627274661988
gamma2_skew,42030,CP_PAC,0.0,2.9561217682692686,0.003,0.9851418433169992
gamma2_skew,42030,FH_PAC,0.063389572964826,2.0768113480455006,0.003,0.9604623294811956
gamma2_skew,42030,FH_normal,0.063389572964826,1.734626907229543,0.003,0.9410038587350832
gamma2_skew,42030,HetLDC,0.0,2.756962922200369,0.003,0.9810805994087968
gamma2_skew,42030,HetLDC_cert,0.0,2.76523381096697,0.003,0.9812689028128468
gamma2_skew,42030,LDC_PAC,0.0,2.844952082978131,0.003,0.9829929392997288
gamma2_skew,42030,LDC_cert_pk,0.0,2.773538217850546,,0.9814561372198467
gamma2_skew,42031,CP_PAC,0.0,2.534796478164412,0.001,0.9752761809572542
gamma2_skew,42031,FH_PAC,-0.0266938140311714,1.8028885200171163,0.001,0.9394935839445654
gamma2_skew,42031,FH_normal,-0.0266938140311714,1.4883830925979629,0.001,0.9132186973372906
gamma2_skew,42031,HetLDC,0.0,2.291861090789788,0.001,0.9669591830432274
gamma2_skew,42031,HetLDC_cert,0.0,2.294152951880577,0.001,0.9670489976588932
gamma2_skew,42031,LDC_PAC,0.0,2.372622126050653,0.001,0.9699859726025376
gamma2_skew,42031,LDC_cert_pk,0.0,2.304597630693674,,0.9674553382758125
gamma2_skew,42032,CP_PAC,0.0,2.657977959154441,0.003,0.9786793917579152
gamma2_skew,42032,FH_PAC,0.0923647917365955,2.049354817127752,0.003,0.9605330954486068
gamma2_skew,42032,FH_normal,0.0923647917365955,1.757101070706239,0.003,0.9444238987444556
gamma2_skew,42032,HetLDC,0.0,2.456053484032952,0.003,0.9728311755560426
gamma2_skew,42032,HetLDC_cert,0.0,2.4634216444850505,0.003,0.9730695288815204
gamma2_skew,42032,LDC_PAC,0.0,2.531518765314277,0.003,0.9751787958903676
gamma2_skew,42032,LDC_cert_pk,0.0,2.4685106350078723,,0.9732329715087215
gamma2_skew,42033,CP_PAC,0.0,1.9597084442428696,0.001,0.95112667631948
gamma2_skew,42033,FH_PAC,-0.037078792438212,1.67017425854912,0.001,0.928641547023304
gamma2_skew,42033,FH_normal,-0.037078792438212,1.3995770231461664,0.001,0.9029142725493198
gamma2_skew,42033,HetLDC,0.0,1.61581337659672,0.001,0.9272126184054894
gamma2_skew,42033,HetLDC_cert,0.0,1.6174291899733166,0.001,0.9273473563052944
gamma2_skew,42033,LDC_PAC,0.0,1.687727518787048,0.001,0.9329860386786116
gamma2_skew,42033,LDC_cert_pk,0.0,1.6261709152095973,,0.9280722225452078
gamma2_skew,42034,CP_PAC,0.0,2.4906399370559367,0.001,0.9739326106877028
gamma2_skew,42034,FH_PAC,-0.2417528728761949,2.285532812351612,0.001,0.9557113731767342
gamma2_skew,42034,FH_normal,-0.2417528728761949,1.941094630995768,0.001,0.9338767489639204
gamma2_skew,42034,HetLDC,0.0,2.249213919520221,0.001,0.9652442405366258
gamma2_skew,42034,HetLDC_cert,0.0,2.251463133439741,0.001,0.96533678880745
gamma2_skew,42034,LDC_PAC,0.0,2.3312906868813426,0.001,0.9684719812512376
gamma2_skew,42034,LDC_cert_pk,0.0,2.259983028276569,,0.9656852094176119
gamma2_skew,42035,CP_PAC,0.0,2.7776157508660404,0.003,0.981547404072226
gamma2_skew,42035,FH_PAC,0.2342999873761481,2.3207915553492886,0.003,0.9758709892685776
gamma2_skew,42035,FH_normal,0.2342999873761481,1.860827815430209,0.003,0.958305725476022
gamma2_skew,42035,HetLDC,0.0,2.51415665087933,0.003,0.9746567216558067
gamma2_skew,42035,HetLDC_cert,0.0,2.5216991208319675,0.003,0.9748848142390856
gamma2_skew,42035,LDC_PAC,0.0,2.5999060062383865,0.003,0.9771357370881054
gamma2_skew,42035,LDC_cert_pk,0.0,2.529144194299282,,0.9751080125205664
gamma2_skew,42036,CP_PAC,0.0,2.119498785652074,0.001,0.9594854413403064
gamma2_skew,42036,FH_PAC,-0.0126364474301152,1.9017127323548124,0.001,0.94692735088125
gamma2_skew,42036,FH_normal,-0.0126364474301152,1.5957718278404796,0.001,0.9244364753895222
gamma2_skew,42036,HetLDC,0.0,1.813588257665192,0.001,0.94205957003522
gamma2_skew,42036,HetLDC_cert,0.0,1.815401845922857,0.001,0.9421813491288532
gamma2_skew,42036,LDC_PAC,0.0,1.888702925458084,0.001,0.946904264152414
gamma2_skew,42036,LDC_cert_pk,0.0,1.8203692131562006,,0.9425136520656769
gamma2_skew,42037,CP_PAC,0.0,2.517533135970119,0.001,0.9747590770130452
gamma2_skew,42037,FH_PAC,0.1401936682393725,2.283572859090472,0.001,0.9717624623467934
gamma2_skew,42037,FH_normal,0.1401936682393725,1.936027924315924,0.001,0.9573679108888016
gamma2_skew,42037,HetLDC,0.0,2.259331657509195,0.001,0.965658691145589
gamma2_skew,42037,HetLDC_cert,0.0,2.261590989166704,0.001,0.9657505875005608
gamma2_skew,42037,LDC_PAC,0.0,2.3417433891095056,0.001,0.9688616843744716
gamma2_skew,42037,LDC_cert_pk,0.0,2.273523192151194,,0.9662320047932156
gamma2_skew,42038,CP_PAC,0.0,2.018632479794294,0.001,0.9543850355094432
gamma2_skew,42038,FH_PAC,-0.1229801483942777,1.868869797954204,0.001,0.9373351074441288
gamma2_skew,42038,FH_normal,-0.1229801483942777,1.5610602110999203,0.001,0.9108635228537668
gamma2_skew,42038,HetLDC,0.0,1.7010510450270282,0.001,0.9340068846661916
gamma2_skew,42038,HetLDC_cert,0.0,1.7027520960720552,0.001,0.9341361521410716
gamma2_skew,42038,LDC_PAC,0.0,1.7694352758635872,0.001,0.9390183566742056
gamma2_skew,42038,LDC_cert_pk,0.0,1.710625372165765,,0.9347313413418623
gamma2_skew,42039,CP_PAC,0.0,2.689929679270228,0.001,0.9794851140738527
gamma2_skew,42039,FH_PAC,0.0563718881241206,1.9809190276009283,0.001,0.9553727074530912
gamma2_skew,42039,FH_normal,0.0563718881241206,1.649533705296901,0.001,0.9343751598406862
gamma2_skew,42039,HetLDC,0.0,2.4538688589554942,0.001,0.9727601138364216
gamma2_skew,42039,HetLDC_cert,0.0,2.4563227278144493,0.001,0.9728399211337284
gamma2_skew,42039,LDC_PAC,0.0,2.533048853524814,0.001,0.9752243028971612
gamma2_skew,42039,LDC_cert_pk,0.0,2.465504132269138,,0.9731365282405094
gamma2_skew,42040,CP_PAC,0.0,2.335965766360714,0.003,0.9686468579629092
gamma2_skew,42040,FH_PAC,0.0347867473022236,2.014664866240794,0.003,0.9560053629066678
gamma2_skew,42040,FH_normal,0.0347867473022236,1.7194276753027498,0.003,0.9379352187172406
