shape,seed,rule,nu,alpha,half,cov
normal,300005,H,1000.0,9e-05,2.1600616478541417,0.9692321025036601
normal,300005,H,1000.0,0.001,2.1626818729083954,0.9694343437444153
normal,300005,H,1000.0,0.005,2.1767979295553608,0.9705043523920343
normal,300015,CP,,,2.2116673413653074,0.9730103413394653
normal,300015,Oracle,,,1.9393699196290195,0.947543689424428
normal,300015,H,2.0,9e-05,3.0614215618789125,0.9977971129874077
normal,300015,H,2.0,0.001,2.98180153758977,0.9971344230482475
normal,300015,H,2.0,0.005,2.8889115092524373,0.9961342215493374
normal,300015,H,10.0,9e-05,2.4748394142507646,0.9866703904298681
normal,300015,H,10.0,0.001,2.3955729162170085,0.9834055867504494
normal,300015,H,10.0,0.005,2.342492900024247,0.9808446015628367
normal,300015,H,50.0,9e-05,2.180857438561014,0.9708060374119665
normal,300015,H,50.0,0.001,2.1587407651473636,0.9691297157200802
normal,300015,H,50.0,0.005,2.1498940957819035,0.9684364072316016
normal,300015,H,200.0,9e-05,2.0571373291639303,0.960326982143491
normal,300015,H,200.0,0.001,2.0527139944812,0.9598996760168534
normal,300015,H,200.0,0.005,2.0615606638466604,0.9607504176808646
normal,300015,H,1000.0,9e-05,1.9952106436057084,0.9539800893236485
normal,300015,H,1000.0,0.001,1.9996339782884385,0.9544601979025058
normal,300015,H,1000.0,0.005,2.017327317019359,0.9563386332932651
normal,300023,CP,,,2.715649670052309,0.9933854129419379
normal,300023,Oracle,,,2.518450256425022,0.9882127468028745
normal,300023,H,2.0,9e-05,3.7970602038302683,0.9998535777620663
normal,300023,H,2.0,0.001,3.683002917688084,0.9997694974797684
normal,300023,H,2.0,0.005,3.5417891348453794,0.9996025769634282
normal,300023,H,10.0,9e-05,3.0333606170760663,0.9975815359572857
normal,300023,H,10.0,0.001,2.9468939134667687,0.9967901669691386
normal,300023,H,10.0,0.005,2.8925809200657286,0.9961790925769853
normal,300023,H,50.0,9e-05,2.738154242096569,0.9938214909238223
normal,300023,H,50.0,0.001,2.710997745396049,0.9932918917623748
normal,300023,H,50.0,0.005,2.705566446055945,0.9931811994765329
normal,300023,H,200.0,9e-05,2.6235059862848003,0.9912970084334121
normal,300023,H,200.0,0.001,2.6126433876045922,0.9910155004660093
normal,300023,H,200.0,0.005,2.6180746869446962,0.991157255159355
normal,300023,H,1000.0,9e-05,2.5615184992289652,0.98957843090584
normal,300023,H,1000.0,0.001,2.5615184992289652,0.98957843090584
normal,300023,H,1000.0,0.005,2.5778123972492772,0.990057203787043
normal,300014,CP,,,2.0817120267873435,0.9626312185728068
normal,300014,Oracle,,,1.7769953249614612,0.9244309909766735
normal,300014,H,2.0,9e-05,2.8856989810669735,0.9960945450317698
normal,300014,H,2.0,0.001,2.8107573481026376,0.9950574954770393
normal,300014,H,2.0,0.005,2.7191620189240044,0.993455245821592
normal,300014,H,10.0,9e-05,2.3252569533494696,0.9799417754130391
normal,300014,H,10.0,0.001,2.2464846497451756,0.9753270183199798
normal,300014,H,10.0,0.005,2.1965235611022846,0.9719455093425948
normal,300014,H,50.0,9e-05,2.0360587861966066,0.9582555474179391
normal,300014,H,50.0,0.001,2.0152416659287353,0.9561206662253348
normal,300014,H,50.0,0.005,2.002751393768013,0.9547960206039254
normal,300014,H,200.0,9e-05,1.9112814959861872,0.9440315843058655
normal,300014,H,200.0,0.001,1.902954647879039,0.9429535367333386
normal,300014,H,200.0,0.005,1.9112814959861872,0.9440315843058655
normal,300014,H,1000.0,9e-05,1.8405032870754254,0.934305617876581
normal,300014,H,1000.0,0.001,1.8446667111289996,0.9349139638420476
normal,300014,H,1000.0,0.005,1.8613204073432965,0.9373010570404596
normal,300017,CP,,,2.4087437178874955,0.9839924656534009
normal,300017,Oracle,,,2.1747042790897297,0.9703477159677412
normal,300017,H,2.0,9e-05,3.377574887474708,0.9992687196215706
normal,300017,H,2.0,0.001,3.2764076513234444,0.9989486331072095
normal,300017,H,2.0,0.005,3.155970465429083,0.9984003494260938
normal,300017,H,10.0,9e-05,2.705001398366727,0.9931695898071915
normal,300017,H,10.0,0.001,2.6186716526555642,0.9911727132012997
normal,300017,H,10.0,0.005,2.5704967782978194,0.9898447228669631
normal,300017,H,50.0,9e-05,2.40891083053075,0.983999793284831
normal,300017,H,50.0,0.001,2.3848233933518777,0.9829126778468407
normal,300017,H,50.0,0.005,2.3751884184803287,0.9824600059352726
normal,300017,H,200.0,9e-05,2.2884736446363885,0.9778900467833378
normal,300017,H,200.0,0.001,2.283656157200614,0.9776082533883179
normal,300017,H,200.0,0.005,2.283656157200614,0.9776082533883179
normal,300017,H,1000.0,9e-05,2.22385662562271,0.9738419078656579
normal,300017,H,1000.0,0.001,2.2286741130584846,0.9741644041187867
normal,300017,H,1000.0,0.005,2.2383090879300336,0.9747990941138127
normal,300022,CP,,,2.559828719850214,0.9895276237150539
normal,300022,Oracle,,,2.346667445148931,0.9810578471513167
normal,300022,H,2.0,9e-05,3.574069465499639,0.9996485243825546
normal,300022,H,2.0,0.001,3.4665566592659416,0.9994728293850272
normal,300022,H,2.0,0.005,3.338565223273445,0.9991578774223648
normal,300022,H,10.0,9e-05,2.8644294244113406,0.9958223876300076
normal,300022,H,10.0,0.001,2.7778044264077413,0.9945272452556118
normal,300022,H,10.0,0.005,2.7317275094504425,0.9936996775016227
normal,300022,H,50.0,9e-05,2.565125971834521,0.9896861647654838
normal,300022,H,50.0,0.001,2.5395276846360213,0.9888997740210104
normal,300022,H,50.0,0.005,2.5292883697566215,0.9885705921806796
