p,q,x,L,U,tol,evals,beta,ell,seconds
0.9036,0.9,0.1915,0.7540923501875815,0.7543185778926377,0.0003,1768930,1.5861737886108929,1.32726427634537,13.43742299079895
0.9036,0.9,0.192,0.7530701242462677,0.7532960452835415,0.0003,1792600,1.5889274976310233,1.3254637691594933,13.17918086051941
0.9036,0.9,0.1925,0.7520455783430985,0.7522711920166014,0.0003,2289574,1.5916884970176817,1.3236594794235028,13.702905178070068
0.9036,0.9,0.193,0.7510187076239538,0.751244013236241,0.0003,1730424,1.5944579549447484,1.3218516811340904,13.116984128952026
0.9036,0.9,0.1935,0.7499895071794876,0.7502145040316415,0.0003,1911296,1.597234560815465,1.3200397075804295,13.586154699325562
0.9036,0.9,0.194,0.7489579720446675,0.7491826594362809,0.0003,1909628,1.6000177526278228,1.318223602378062,13.43982481956482
0.9036,0.9,0.1945,0.7479240971979808,0.7481484744271402,0.0003,1800736,1.6028102988334798,1.3164033001999706,13.088233947753906
0.9036,0.9,0.195,0.7468878775607235,0.7471119439239917,0.0003,1826736,1.6056109668579817,1.3145793174571554,13.261098146438599
0.9036,0.9,0.1955,0.7458493079965091,0.746073062788908,0.0003,1932368,1.6084192149561845,1.3127515106980001,13.571651220321655
0.9036,0.9,0.196,0.7448083833103777,0.7450318258253708,0.0003,2027074,1.611234761704923,1.3109195762224353,13.350350856781006
0.9036,0.9,0.1965,0.7437650982482569,0.7439882277777313,0.0003,1740292,1.614060828821901,1.3090837506854287,12.805691957473755
0.9036,0.9,0.197,0.7427194474962449,0.7429422633304937,0.0003,1844628,1.6168931303052954,1.3072438881521855,13.209522485733032
0.9036,0.9,0.1975,0.741671425679829,0.741893927107533,0.0003,1532414,1.6197352953121351,1.30539990983606,12.656998872756958
0.9036,0.9,0.198,0.7406210273632688,0.7408432136714778,0.0003,1940724,1.6225864153778362,1.3035519296762077,13.30907130241394
0.9036,0.9,0.1985,0.7395682470488452,0.7397901175229598,0.0003,1948264,1.625444652172331,1.3016996449227012,13.355188369750977
0.9036,0.9,0.199,0.7385130791762582,0.7387346331000111,0.0003,2072058,1.6283135096987693,1.2998442653187854,13.352919816970825
0.9036,0.9,0.1995,0.7374555181215813,0.7376767547770178,0.0003,1753028,1.6311909731175858,1.297983977750844,13.25328016281128
0.9036,0.9,0.2,0.7363955581968179,0.7366164768642769,0.0003,1432982,1.634077661324183,1.2961195513672235,12.630281925201416
0.9036,0.9,0.2005,0.7353331936491244,0.7355537936072192,0.0003,1617082,1.6369726621921399,1.2942511577324045,12.83405351638794
0.9036,0.9,0.201,0.734268418659909,0.734488699185507,0.0003,1822004,1.6398783002415875,1.2923786805059054,12.720180749893188
0.9036,0.9,0.2015,0.7332012273442683,0.7334211877124716,0.0003,1715260,1.6427924177730806,1.2905021977297948,12.518099308013916
0.9036,0.9,0.202,0.7321316137499759,0.7323512532341009,0.0003,2011640,1.645715927245071,1.288621704879157,12.99353814125061
0.9036,0.9,0.2025,0.7310595718569244,0.7312788897284814,0.0003,1871484,1.6486501166264926,1.2867369577985421,12.94066834449768
0.9036,0.9,0.203,0.7299850955762174,0.7302040911048903,0.0003,1733110,1.6515930631496873,1.2848478360381292,12.6832275390625
0.9036,0.9,0.2035,0.728908178749462,0.7291268512030868,0.0003,2242932,1.6545476487428863,1.282954584043455,13.207491397857666
0.9036,0.9,0.204,0.7278288151477968,0.7280471637923411,0.0003,1870446,1.6575112790770896,1.2810572829099476,12.63401460647583
0.9036,0.9,0.2045,0.7267469984712635,0.7269650225708048,0.0003,2192434,1.6604846770832102,1.2791557622036465,12.758991003036499
0.9036,0.9,0.205,0.7256627223479438,0.7258804211646481,0.0003,1496252,1.663468837477331,1.2772497593422694,12.313360214233398
0.9036,0.9,0.2055,0.7245759803329725,0.7247933531270724,0.0003,2121362,1.666463968360774,1.275339595491228,12.773783683776855
0.9036,0.9,0.206,0.7234867659078783,0.7237038119376507,0.0003,2216216,1.6694689825224578,1.2734253184508102,12.945293664932251
0.9036,0.9,0.2065,0.7223950724796342,0.7226117910013781,0.0003,2163582,1.6724838964398494,1.271506486354617,12.918297290802002
0.9036,0.9,0.207,0.7213008933798305,0.7215172836478444,0.0003,2226006,1.6755114085817127,1.269583974378286,12.906293869018555
0.9036,0.9,0.2075,0.7202042218637893,0.7204202831303484,0.0003,1580464,1.6785481257962283,1.2676564474864367,12.626147508621216
0.9036,0.9,0.208,0.7191050511096265,0.7193207826249594,0.0003,2114880,1.6815969284675092,1.2657249002942181,12.765658378601074
0.9036,0.9,0.2085,0.7180033742174242,0.7182187752296895,0.0003,2150886,1.6846576874641168,1.2637891307774118,13.012853622436523
0.9036,0.9,0.209,0.7168991842082028,0.7171142539634652,0.0003,1959962,1.6877274910736446,1.2618484602923024,12.342499256134033
0.9036,0.9,0.2095,0.715792474023401,0.716007211765608,0.0003,2503064,1.6908103247676576,1.259904220756506,12.914610385894775
0.9036,0.9,0.21,0.714683236523205,0.7148976414941619,0.0003,2118168,1.6939045515888598,1.257955306565096,12.547490358352661
0.9036,0.9,0.2105,0.713571464486297,0.7137855359256429,0.0003,1931612,1.6970105794730297,1.2560020903979983,12.36994743347168
0.9036,0.9,0.211,0.712457150608538,0.7126708877537206,0.0003,1805854,1.7001289084182187,1.2540447306172562,11.97569990158081
0.9036,0.9,0.2115,0.7113402875020989,0.7115536895883495,0.0003,2361280,1.7032588356731442,1.252082784762503,13.15985655784607
0.9036,0.9,0.212,0.7102208676946125,0.7104339339549208,0.0003,2111164,1.7064001812980214,1.2501157653334471,12.611931562423706
0.9036,0.9,0.2125,0.7090988836277489,0.7093116132928372,0.0003,1997272,1.709555636962914,1.24814474394889,12.426881313323975
0.9036,0.9,0.213,0.707974327656703,0.7081867199549999,0.0003,1793842,1.7127220394914844,1.2461692210852289,12.283991575241089
0.9036,0.9,0.2135,0.7068471920488767,0.7070592462064913,0.0003,2440086,1.7159011693735426,1.2441891149784006,13.234355926513672
0.9036,0.9,0.214,0.7057174689829958,0.7059291842236907,0.0003,1837616,1.7190928120516635,1.2422048406092965,12.338542699813843
0.9036,0.9,0.2145,0.7045851505478684,0.7047965260930328,0.0003,1952370,1.7222976065622524,1.240215759591038,12.547229290008545
0.9036,0.9,0.215,0.7034502287415229,0.7036612638101453,0.0003,1765276,1.725515309103323,1.238222158033941,12.044188737869263
0.9036,0.9,0.2155,0.7023126954700423,0.7025233892786833,0.0003,2231936,1.72874575522961,1.2362240784902534,12.853478193283081
0.9036,0.9,0.216,0.701172542546387,0.7013828943091508,0.0003,2542624,1.7319890991148612,1.2342218299671135,13.77433180809021
0.9036,0.9,0.2165,0.7000297616894782,0.700239770617985,0.0003,2214550,1.7352468906814853,1.2322145214927451,13.340019226074219
0.9036,0.9,0.217,0.6988843445228129,0.6990940098261698,0.0003,2649964,1.738517651536681,1.2302022353024373,14.155022859573364
0.9036,0.9,0.2175,0.697736282573595,0.6979456034583671,0.0003,1714134,1.741801618823187,1.22818595448416,12.894454956054688
0.9036,0.9,0.218,0.6965855672712613,0.6967945429414427,0.0003,2555270,1.7450999167912897,1.2261653298430766,13.512502431869507
0.9036,0.9,0.2185,0.6954321899468552,0.6956408196038392,0.0003,2185188,1.748413886325272,1.2241394171219238,13.36117148399353
0.9036,0.9,0.219,0.6942761418309572,0.6944844246735065,0.0003,2101966,1.7517396850542437,1.2221085644506264,13.335694074630737
0.9036,0.9,0.2195,0.6931174140533302,0.6933253492775462,0.0003,2143882,1.7550813954887956,1.2200735789794388,13.233798503875732
0.9036,0.9,0.22,0.6919559976412116,0.692163584440504,0.0003,2439538,1.7584365657842478,1.2180340694562488,13.841020584106445
0.9036,0.9,0.2205,0.6907918835182097,0.6909991210832652,0.0003,2266024,1.7618062000410604,1.2159895006157653,13.58375883102417
0.9036,0.9,0.221,0.6896250625030138,0.6898319500217647,0.0003,2021474,1.7651914961098472,1.2139397182461404,13.256497383117676
0.9036,0.9,0.2215,0.688455525308196,0.6886620619657884,0.0003,2102016,1.7685922225304163,1.211886133412479,13.450589418411255
0.9036,0.9,0.222,0.6872832625386672,0.6874894475174288,0.0003,2405478,1.772006743556265,1.209827174469371,13.766507863998413
0.9036,0.9,0.2225,0.6861082646905963,0.6863140971700035,0.0003,2726002,1.775437243074023,1.207763531873896,14.19026231765747
0.9036,0.9,0.223,0.6849305221499845,0.6851360013066294,0.0003,2377910,1.778883013333856,1.2056950734416043,13.845511198043823
0.9036,0.9,0.2235,0.6837500251912783,0.6839551501988356,0.0003,2515356,1.782344470831208,1.2036218498961955,13.969088554382324
0.9036,0.9,0.224,0.6825667639759812,0.6827715340051739,0.0003,2102312,1.785820716214976,1.2015435441174542,13.270244121551514
0.9036,0.9,0.2245,0.6813807285513006,0.6815851427698659,0.0003,2075282,1.7893148240156243,1.1994607764517615,13.397457361221313
0.9036,0.9,0.225,0.6801919088486238,0.6803959664212783,0.0003,2449156,1.7928240382054748,1.1973728957401324,13.988830089569092
0.9036,0.9,0.2255,0.6790002946821527,0.6792039947705574,0.0003,2183704,1.7963500089162008,1.1952800653642808,13.19693660736084
0.9036,0.9,0.226,0.6778058757473745,0.6780092175100987,0.0003,2114644,1.7998908270085383,1.1931821637013644,13.204239845275879
